school,address,higher,Medu,studytime,Fedu,internet,G1,G2,G3
1,1,1,3,2,2,1,11,10,10
1,1,1,3,2,4,1,16,16,16
1,1,1,3,4,3,0,10,10,10
1,1,1,2,4,2,1,10,10,10
1,1,1,3,3,3,1,13,14,14
1,0,1,4,4,4,1,12,10,11
1,1,1,4,3,4,1,15,15,14
1,1,1,4,1,4,1,13,14,14
1,0,1,3,3,3,1,11,11,11
1,1,1,2,2,2,1,8,10,10
1,1,1,4,1,2,1,18,17,18
1,0,1,2,2,1,1,10,9,10
1,1,1,4,2,4,1,16,14,14
1,1,1,4,2,4,0,16,15,16
1,1,1,3,1,3,1,14,14,15
1,0,1,1,2,3,1,12,11,11
1,1,1,3,1,4,1,14,13,14
1,1,1,1,2,2,1,14,14,14
1,1,1,2,4,2,1,14,13,13
1,1,1,2,2,4,1,14,12,13
1,1,1,4,1,4,1,12,13,13
1,1,1,2,2,2,1,12,11,11
1,1,1,3,1,4,1,9,9,9
1,1,1,3,2,4,1,10,11,11
1,1,0,0,2,1,0,9,10,11
1,0,1,4,1,4,1,14,14,15
1,1,1,2,3,3,1,13,12,13
1,0,1,3,3,4,1,10,11,12
1,1,0,2,2,1,1,10,9,8
1,1,1,2,1,1,1,11,10,11
1,1,1,1,1,1,1,11,12,13
1,1,1,2,1,2,1,13,12,12
1,1,1,3,1,4,1,15,13,14
1,1,1,2,1,1,0,9,9,11
1,1,1,2,1,2,0,13,11,11
1,0,1,3,2,4,0,12,11,11
1,1,1,4,3,4,1,13,14,15
1,0,1,3,2,4,0,10,9,10
1,0,1,1,2,1,0,14,13,13
1,1,1,3,1,1,1,11,11,12
1,1,1,3,3,2,1,12,11,11
1,0,1,1,1,1,0,12,11,11
1,1,1,3,1,3,1,9,9,10
1,1,1,1,2,1,0,10,10,10
1,1,1,4,1,4,1,13,14,14
1,0,1,1,1,1,1,8,9,9
1,1,1,4,4,3,1,9,11,11
1,1,1,3,2,3,0,9,8,9
1,1,1,4,3,4,1,15,13,13
1,1,1,2,1,2,1,12,11,11
1,1,1,4,3,4,1,13,13,13
1,1,1,1,1,1,1,10,11,11
1,1,1,2,1,1,1,9,7,6
1,1,1,1,2,1,1,12,12,12
1,1,0,2,1,1,1,11,10,10
1,1,1,3,2,2,1,11,11,11
1,1,1,1,2,2,1,13,12,13
1,1,1,1,2,2,0,11,11,11
1,1,0,4,1,4,1,9,9,8
1,1,1,2,1,1,1,12,11,11
1,1,0,1,1,1,1,11,9,0
1,1,1,2,1,1,0,9,10,10
1,0,1,3,3,3,1,13,13,13
1,1,0,3,1,2,1,11,9,11
1,1,1,4,1,4,0,13,13,13
1,0,1,2,2,3,0,7,8,8
1,0,1,1,1,2,0,9,8,10
1,0,1,1,1,1,0,11,10,11
1,0,1,2,1,2,0,12,10,11
1,1,1,3,2,3,1,10,10,1
1,1,1,1,1,2,1,9,8,10
1,0,0,2,1,1,1,8,8,9
1,0,1,3,2,2,1,7,6,8
1,1,1,1,1,2,0,8,9,10
1,1,0,1,1,3,1,9,8,8
1,0,0,1,2,1,0,8,8,8
1,1,0,3,1,2,0,8,7,8
1,1,0,2,2,2,1,9,10,11
1,1,1,4,2,2,1,17,17,18
1,1,1,2,2,2,1,12,12,13
1,1,1,4,2,4,1,16,16,17
1,1,1,3,1,4,1,9,9,10
1,1,1,1,2,0,1,16,17,18
1,1,1,4,2,4,1,11,9,10
1,1,1,1,2,3,1,14,13,13
1,1,1,3,2,3,1,14,14,15
1,1,1,4,2,3,1,10,11,11
1,1,1,2,2,2,1,13,12,14
1,1,1,3,2,3,1,11,9,10
1,0,1,4,1,2,1,10,9,11
1,1,1,4,2,3,1,11,11,13
1,1,1,4,2,3,1,11,10,11
1,1,1,3,2,3,1,11,12,13
1,1,1,2,2,4,0,17,18,17
1,1,1,3,2,3,1,14,13,14
1,1,1,3,2,2,1,14,15,16
1,1,1,3,2,3,1,11,13,14
1,1,1,1,1,2,1,10,9,11
1,1,1,2,2,1,1,13,14,16
1,1,1,3,2,3,1,12,13,14
1,0,1,1,2,2,0,9,9,10
1,1,1,2,2,3,1,12,12,13
1,1,1,1,2,1,1,12,11,12
1,1,1,1,2,2,1,10,11,12
1,0,1,3,1,3,1,11,10,10
1,1,1,2,1,3,1,13,12,12
1,1,1,2,2,4,1,14,15,16
1,1,1,4,1,4,1,13,13,14
1,0,1,3,1,3,1,10,11,12
1,1,1,4,1,4,1,14,15,16
1,1,1,4,2,4,1,11,10,11
1,1,1,4,2,3,1,14,14,15
1,1,1,2,2,3,0,11,12,12
1,1,1,1,2,1,0,14,15,15
1,0,1,2,1,2,1,13,13,13
1,0,1,2,4,2,1,13,13,13
1,1,1,3,3,4,1,8,9,8
1,1,1,3,2,1,1,11,11,12
1,1,1,4,2,3,1,14,15,15
1,1,1,1,1,1,0,12,13,13
1,0,1,4,3,3,1,11,12,12
1,1,1,3,4,3,1,12,12,12
1,1,1,4,2,4,1,13,12,12
1,1,1,2,2,2,1,13,13,13
1,1,1,2,2,2,1,12,11,11
1,0,1,4,1,4,0,12,11,11
1,1,1,3,2,2,1,14,16,15
1,1,1,4,2,3,1,11,9,10
1,1,1,3,2,3,1,10,10,10
1,1,1,2,1,3,0,12,13,13
1,1,1,2,3,2,1,12,12,13
1,0,1,2,2,1,1,11,10,11
1,1,1,1,3,1,0,12,12,12
1,1,1,2,2,3,1,13,13,14
1,1,1,2,2,2,1,10,9,10
1,1,1,4,3,4,1,15,16,16
1,0,1,3,2,1,1,8,8,8
1,1,1,3,2,2,1,17,18,17
1,1,1,2,2,3,1,10,11,11
1,1,1,2,2,1,1,9,10,11
1,1,1,2,3,1,1,15,15,16
1,1,1,4,2,3,1,14,12,12
1,0,1,2,2,2,1,12,13,13
1,1,1,4,2,4,1,13,13,13
1,1,1,4,2,4,1,13,13,14
1,1,1,1,2,1,1,9,9,9
1,1,1,3,3,2,1,12,12,12
1,1,1,2,2,2,1,16,16,16
1,1,1,2,1,1,1,9,10,10
1,1,1,4,2,1,1,14,13,13
1,1,1,2,2,4,1,10,10,10
1,1,1,2,2,2,1,9,8,10
1,1,0,3,1,3,1,8,7,7
1,1,0,2,1,2,1,7,8,8
1,1,1,4,1,4,1,10,8,9
1,1,1,3,2,2,0,14,14,15
1,1,1,1,3,1,1,11,10,10
1,1,0,1,1,2,1,12,11,11
1,0,1,2,2,1,0,13,13,13
1,0,1,1,1,4,1,9,9,8
1,1,0,2,2,2,1,8,7,8
1,1,0,2,1,2,1,11,9,10
1,0,1,1,3,1,1,15,14,15
1,1,1,4,2,2,0,15,14,14
1,1,1,4,2,3,1,15,15,15
1,0,1,4,2,4,1,12,12,12
1,1,1,4,1,3,1,14,14,15
1,1,1,4,1,4,1,14,15,15
1,1,1,4,2,4,1,11,11,12
1,0,1,1,3,1,1,13,14,15
1,1,1,3,3,3,1,11,11,11
1,1,1,1,2,1,0,10,9,10
1,1,1,2,3,1,1,12,10,11
1,1,1,2,1,1,1,15,16,16
1,1,1,1,2,1,0,11,10,11
1,1,1,2,1,3,1,9,12,13
1,1,0,3,1,1,1,7,8,5
1,0,1,3,2,3,1,10,9,10
1,1,1,0,1,2,1,11,12,11
1,1,0,3,1,2,1,7,8,7
1,1,1,3,2,3,1,9,11,10
1,1,0,2,1,1,1,7,8,6
1,0,1,2,1,1,0,14,13,12
1,0,1,2,1,1,1,12,12,13
1,1,1,1,1,1,1,9,10,10
1,1,1,2,2,1,1,12,12,13
1,1,1,4,4,2,1,14,15,17
1,1,1,2,2,2,1,10,10,11
1,1,0,2,2,1,1,11,10,11
1,0,1,4,3,2,1,11,12,14
1,1,1,1,3,1,0,11,12,14
1,0,1,2,2,2,0,11,11,13
1,1,1,4,2,3,1,11,13,14
1,1,1,2,2,1,1,16,16,16
1,0,0,2,1,2,0,9,10,10
1,1,1,2,4,2,1,10,11,12
1,0,0,2,2,1,1,10,12,12
1,1,1,4,2,3,1,15,15,15
1,1,1,4,2,3,1,10,10,11
1,0,1,3,3,2,0,10,11,12
1,1,1,3,3,3,0,15,12,13
1,1,1,2,3,2,1,11,12,13
1,1,0,2,1,2,1,8,8,9
1,0,1,3,2,4,1,15,16,16
1,1,1,3,2,1,1,11,11,14
1,0,1,4,2,4,1,10,11,12
1,1,1,4,2,2,1,10,12,14
1,0,0,2,2,1,1,8,9,10
1,1,1,3,2,3,1,11,12,12
1,1,1,2,4,3,1,16,16,16
1,1,1,1,2,1,0,13,13,13
1,0,1,1,2,2,0,16,17,18
1,1,1,2,2,1,1,14,14,15
1,1,1,2,2,4,1,15,16,16
1,1,1,2,2,2,1,12,12,12
1,0,0,3,2,2,1,12,9,10
1,1,1,4,1,4,1,11,12,12
1,1,1,4,2,4,1,14,12,13
1,1,1,2,3,2,1,13,15,15
1,0,0,3,2,2,1,9,8,10
1,1,1,4,1,3,1,10,10,10
1,1,0,1,1,2,1,10,10,11
1,1,1,4,1,1,1,11,11,10
1,1,1,3,1,2,1,13,13,13
1,0,1,1,4,1,0,17,17,18
1,1,1,1,2,1,1,12,13,13
1,1,1,2,2,2,1,12,12,14
1,1,1,2,2,1,1,12,13,14
1,1,1,1,2,1,1,12,12,12
1,1,1,2,3,2,1,18,18,18
1,1,1,1,3,1,1,13,13,14
1,1,1,2,3,1,1,14,15,15
1,1,1,4,2,4,1,17,17,17
1,1,1,4,2,2,1,15,16,16
1,1,1,4,3,3,1,17,18,18
1,0,1,3,4,1,0,18,19,19
1,0,1,3,3,2,1,14,15,15
1,1,1,3,1,3,1,14,15,15
1,1,1,4,2,4,1,14,13,13
1,1,1,4,2,3,1,13,14,14
1,1,1,4,4,3,1,16,17,17
1,1,1,4,1,4,1,18,18,17
1,1,1,4,2,4,1,14,15,15
1,1,1,4,1,4,1,12,13,13
1,0,1,4,3,4,1,7,7,8
1,1,1,4,3,2,1,16,16,16
1,1,1,3,4,2,1,18,18,18
1,0,1,2,3,1,1,9,10,11
1,1,1,3,1,2,0,14,15,15
1,0,1,3,2,3,0,10,10,11
1,1,1,1,2,4,0,10,10,11
1,1,1,2,2,1,1,12,12,15
1,1,1,2,2,3,1,11,12,14
1,0,1,4,1,4,1,15,16,17
1,1,1,4,3,3,1,14,15,17
1,1,1,4,1,3,1,12,12,15
1,0,1,3,3,4,1,15,15,17
1,1,1,3,2,3,1,11,12,14
1,1,1,4,2,2,1,11,10,10
1,1,1,4,2,4,1,12,11,13
1,1,1,3,1,4,1,11,12,14
1,1,1,4,1,4,1,14,15,17
1,1,1,4,2,3,1,15,14,17
1,1,1,3,2,3,1,12,12,13
1,1,1,2,2,1,1,11,12,14
1,1,1,4,1,4,1,8,9,11
1,1,0,1,3,1,0,10,10,11
1,1,1,1,2,1,1,8,8,9
1,1,1,2,1,2,1,10,10,10
1,1,1,2,2,2,0,14,13,13
1,0,1,2,3,2,1,11,11,10
1,1,1,3,3,1,1,17,18,17
1,1,1,0,3,2,1,14,14,15
1,1,1,1,3,1,1,14,14,14
1,1,1,4,3,4,1,13,14,13
1,1,1,3,1,3,1,17,18,17
1,0,1,2,1,2,1,11,10,10
1,1,1,4,3,4,1,13,12,13
1,1,1,4,3,4,1,15,14,15
1,1,1,3,1,3,1,11,12,11
1,1,1,2,4,2,1,11,11,12
1,0,1,3,1,2,0,11,10,10
1,1,1,2,2,2,0,10,9,10
1,0,1,2,3,4,1,15,15,15
1,1,1,2,1,2,1,15,14,15
1,1,1,3,2,3,1,10,11,12
1,1,1,2,2,2,1,10,9,12
1,0,1,2,4,2,0,14,13,14
1,1,1,3,3,4,1,11,13,14
1,1,1,3,2,2,1,12,13,15
1,1,1,3,4,3,1,14,14,15
1,0,1,3,2,2,1,14,14,16
1,1,1,4,2,4,1,12,12,13
1,1,1,3,2,4,1,16,16,17
1,1,1,2,2,2,1,10,12,14
1,1,1,2,3,3,1,11,12,14
1,1,1,3,3,2,1,14,16,17
1,0,1,4,3,3,1,15,14,17
1,1,1,4,3,3,1,14,13,14
1,1,1,4,3,3,1,11,12,13
1,1,1,2,2,1,1,12,15,15
1,1,1,2,2,1,1,12,16,16
1,1,0,2,1,3,1,10,11,11
1,1,1,3,1,1,1,10,13,13
1,1,1,4,3,4,1,9,12,12
1,1,0,2,2,2,1,9,11,12
1,1,1,3,2,4,1,13,14,15
1,1,1,2,2,2,1,13,17,17
1,1,1,4,3,4,1,12,15,15
1,1,1,4,2,2,1,14,17,17
1,0,0,1,2,1,1,9,10,10
1,0,1,1,3,1,1,11,15,15
1,1,1,4,1,4,1,9,10,11
1,1,1,3,2,2,1,16,18,18
1,1,1,3,3,2,1,14,17,17
1,0,1,2,1,3,1,13,14,14
1,1,1,2,1,1,1,7,11,11
1,1,1,2,2,2,1,14,17,17
1,1,1,1,1,0,1,8,10,10
1,1,1,3,2,2,1,10,13,13
0,1,0,1,1,3,1,10,11,11
0,0,1,2,2,2,1,12,12,12
0,0,1,1,1,1,0,10,10,10
0,0,1,3,1,3,1,10,10,11
0,0,1,2,2,3,0,16,17,17
0,0,0,2,1,1,0,6,8,9
0,0,1,4,2,4,0,10,11,11
0,1,1,1,3,2,1,10,11,11
0,0,1,3,2,2,0,10,10,10
0,0,0,1,1,1,1,6,6,7
0,0,1,4,1,4,1,13,14,14
0,1,0,2,4,2,0,10,9,11
0,0,1,1,2,1,1,10,10,10
0,0,1,1,1,1,1,6,7,8
0,0,1,0,1,2,0,12,11,12
0,0,1,2,1,3,1,10,11,12
0,0,1,3,1,3,1,14,16,16
0,1,1,1,2,1,0,7,0,0
0,1,1,1,2,1,1,8,9,9
0,0,1,4,2,1,1,12,13,14
0,0,1,4,2,1,1,7,9,8
0,0,1,3,2,4,0,9,10,11
0,0,1,1,2,1,0,7,9,9
0,1,1,3,2,3,1,11,11,11
0,0,0,2,1,1,0,8,10,9
0,0,1,4,3,4,1,16,16,17
0,0,1,1,1,2,0,11,13,13
0,0,1,2,2,3,1,15,15,15
0,0,1,1,2,2,0,10,11,11
0,0,1,2,2,2,1,9,10,11
0,1,1,1,3,2,0,10,8,8
0,1,1,1,3,2,0,9,8,8
0,1,1,2,2,1,1,9,10,9
0,1,1,1,2,1,0,13,14,15
0,0,1,1,1,2,1,10,11,11
0,0,1,1,4,1,1,13,10,13
0,0,1,1,3,1,0,10,9,10
0,0,1,1,2,1,1,11,10,11
0,0,1,1,1,1,1,13,12,14
0,0,1,1,2,1,0,13,14,14
0,0,1,2,3,2,0,14,11,12
0,0,1,1,1,1,0,11,11,11
0,1,1,1,2,2,1,9,8,8
0,1,1,3,1,1,0,10,9,11
0,0,1,2,2,2,1,14,13,14
0,1,1,2,1,2,0,13,12,13
0,1,1,4,2,4,0,13,12,13
0,0,1,3,2,3,1,13,12,12
0,0,1,2,2,2,0,12,11,12
0,0,1,2,1,2,0,14,14,16
0,1,1,2,1,1,1,10,8,10
0,0,1,1,1,3,1,10,11,11
0,1,1,2,3,2,0,12,13,14
0,0,1,2,1,1,1,10,8,8
0,1,1,3,1,3,1,12,10,11
0,0,1,1,2,1,0,7,7,8
0,1,0,2,1,2,0,9,9,10
0,1,0,2,1,3,1,9,9,10
0,0,0,2,1,1,0,9,10,11
0,0,0,1,1,1,0,9,10,9
0,0,0,2,2,2,1,9,10,11
0,1,0,2,1,2,0,7,7,8
0,0,1,2,2,2,1,11,10,11
0,1,1,2,1,2,1,9,10,10
0,0,0,3,3,2,0,7,9,10
0,1,0,1,3,1,0,7,9,9
0,0,0,1,1,1,1,8,9,10
0,0,0,1,1,1,1,9,11,10
0,1,1,1,2,1,1,7,8,9
0,0,1,2,2,2,0,8,10,10
0,1,1,0,1,1,0,9,9,10
0,0,0,1,2,2,1,8,9,9
0,1,0,3,1,3,1,14,13,13
0,0,1,1,1,1,1,14,14,14
0,1,1,3,4,3,0,10,11,10
0,1,1,2,2,1,1,14,13,14
0,1,1,2,1,2,0,17,16,16
0,1,0,1,1,2,1,6,7,7
0,1,1,4,1,3,1,14,12,13
0,0,1,2,4,2,0,10,8,9
0,1,1,1,4,1,1,14,14,14
0,1,1,2,3,2,1,12,13,13
0,0,1,1,1,1,1,11,11,11
0,1,1,3,2,3,1,11,9,10
0,1,1,1,3,1,0,11,11,10
0,0,1,2,1,2,1,10,9,9
0,0,1,1,2,1,0,16,17,18
0,0,1,2,2,2,0,15,17,17
0,1,1,1,2,0,1,11,9,10
0,0,1,1,2,1,1,7,7,7
0,1,1,3,1,1,1,8,6,8
0,1,1,3,1,2,1,7,6,7
0,1,1,1,2,1,0,9,8,10
0,0,1,4,2,4,1,14,16,16
0,0,1,1,1,2,1,14,14,15
0,1,1,2,2,4,1,8,5,8
0,0,1,2,2,1,1,8,7,0
0,1,1,1,2,1,1,6,8,8
0,0,1,2,2,3,1,8,10,10
0,1,1,4,2,4,1,8,8,8
0,1,0,4,4,4,1,5,6,6
0,0,1,3,2,4,0,7,9,8
0,1,1,4,3,4,1,15,14,16
0,0,1,4,1,1,1,13,14,14
0,1,1,2,3,2,0,10,9,10
0,0,1,2,1,2,1,9,9,9
0,1,1,4,1,4,0,11,11,11
0,1,1,3,1,3,1,7,10,9
0,1,1,1,2,1,1,10,10,10
0,1,1,2,2,1,1,9,7,8
0,1,1,2,2,1,1,14,15,16
0,1,1,4,1,4,1,11,12,12
0,0,1,1,2,2,0,9,11,10
0,1,1,2,4,2,0,13,14,14
0,1,1,2,1,1,1,12,13,12
0,0,1,2,3,2,0,11,11,11
0,1,1,4,2,1,1,9,10,10
0,1,1,3,1,2,0,9,11,11
0,0,1,2,2,2,0,11,9,11
0,1,1,4,3,4,1,10,11,12
0,0,1,4,1,4,1,9,9,8
0,0,1,1,1,3,0,12,11,12
0,1,1,3,2,4,1,8,9,8
0,1,1,4,2,4,1,13,15,16
0,0,1,4,1,1,1,10,11,11
0,1,1,1,2,1,1,11,10,11
0,0,1,4,2,2,1,17,18,18
0,1,1,2,2,2,1,12,13,13
0,1,1,3,2,2,1,13,14,13
0,1,0,1,2,1,1,9,9,10
0,1,1,1,1,0,0,11,11,12
0,0,0,1,1,1,1,10,11,10
0,0,1,1,3,2,1,13,14,13
0,0,1,1,1,2,0,9,10,11
0,0,1,3,2,1,1,7,9,10
0,0,0,2,1,2,0,8,13,10
0,0,1,1,1,0,0,12,12,13
0,0,1,1,1,1,1,10,9,10
0,1,1,1,2,1,0,10,9,10
0,0,1,2,2,2,0,11,13,12
0,1,1,2,1,2,0,7,0,0
0,0,1,3,1,2,1,11,9,10
0,0,1,1,1,1,1,10,10,9
0,0,0,1,1,1,1,9,7,9
0,0,0,3,1,2,1,4,0,0
0,1,1,3,1,2,0,6,11,9
0,1,0,3,2,3,1,4,8,8
0,0,1,2,1,2,1,7,8,8
0,1,0,2,1,1,1,8,9,9
0,1,1,3,2,2,0,5,5,7
0,1,1,1,1,1,0,7,9,10
0,0,0,1,1,1,1,8,11,10
0,0,1,4,1,3,1,10,11,10
0,0,1,3,1,2,1,9,10,11
0,0,1,1,2,1,1,10,9,11
0,1,1,3,2,3,1,8,9,10
0,1,0,1,1,3,1,9,10,9
0,0,1,1,1,1,1,8,9,10
0,1,1,1,2,2,0,6,8,8
0,1,0,1,1,1,0,6,8,7
0,0,0,2,1,2,1,8,6,0
0,0,1,0,1,0,1,10,11,11
0,0,0,3,3,1,0,8,7,8
0,1,1,4,2,2,1,8,8,0
0,0,1,2,2,2,1,7,6,8
0,1,1,4,1,1,0,8,10,9
0,1,1,1,1,2,1,7,10,10
0,1,1,1,2,1,0,7,8,7
0,1,1,2,2,2,1,12,13,14
0,1,1,3,1,3,1,11,12,13
0,1,1,1,2,2,1,12,13,14
0,1,1,4,2,4,1,18,18,18
0,1,1,4,1,4,1,17,17,17
0,1,1,4,2,2,1,17,18,18
0,0,1,2,2,2,0,9,0,0
0,1,1,1,1,2,0,10,11,11
0,0,1,4,1,4,1,12,13,14
0,0,0,1,1,1,0,12,13,14
0,1,1,2,2,2,1,8,8,10
0,1,1,2,3,2,1,11,12,13
0,0,1,4,2,2,1,5,0,0
0,1,0,1,2,1,0,9,10,10
0,1,0,1,1,1,0,5,0,0
0,1,1,4,4,2,1,18,18,18
0,0,1,2,2,1,1,11,11,12
0,1,1,1,2,1,0,8,10,11
0,1,0,1,2,2,0,11,11,12
0,0,0,1,2,1,0,8,0,0
0,0,1,2,3,2,1,14,14,15
0,0,1,4,2,3,1,10,11,11
0,1,1,3,2,3,0,10,10,10
0,0,1,4,2,4,1,12,12,12
0,1,1,3,2,2,0,15,14,15
0,1,1,1,1,1,1,14,13,14
0,1,1,1,3,1,1,19,17,18
0,0,1,1,2,2,0,16,15,15
0,1,1,3,2,3,1,13,12,13
0,1,1,4,2,4,1,15,14,15
0,0,1,1,2,2,0,13,13,13
0,0,1,1,2,3,0,8,10,9
0,1,1,4,3,4,1,15,16,16
0,0,1,1,1,1,1,8,8,9
0,1,1,2,1,3,1,10,10,10
0,0,1,4,2,4,1,7,5,0
0,0,0,1,1,2,1,9,10,10
0,1,1,2,3,2,0,10,11,12
0,0,1,1,1,2,1,7,8,9
0,0,1,4,3,4,1,15,17,17
0,0,1,1,3,1,1,10,11,12
0,0,1,1,2,1,1,7,8,9
0,0,1,4,2,4,1,13,14,14
0,1,1,3,2,3,1,16,16,16
0,0,1,3,2,1,1,8,9,9
0,1,1,4,2,4,1,17,18,19
0,0,1,2,1,1,1,7,7,0
0,1,1,2,2,3,1,14,15,16
0,0,1,1,1,1,0,5,8,0
0,0,1,4,1,2,0,7,7,0
0,0,1,2,3,2,0,14,17,15
0,1,1,4,2,3,1,6,9,11
0,0,1,4,1,4,1,7,9,10
0,0,1,2,3,3,1,10,11,10
0,1,1,3,2,1,1,15,15,16
0,1,1,1,2,1,0,11,12,9
0,1,1,3,1,1,1,10,10,10
0,0,1,3,1,2,1,10,11,11
